DT_CTBIL;SG_EMPRE;CD_CANAL_VENDA;CD_PRODUTO;CD_LOCAL_DEBITO;CD_LOCAL_CREDITO;VL_PREMT;QT_PREMT;CD_CNAPE
30/11/2024;RPS;2;789;9621;9623;0,5;0;107113
30/11/2024;RPS;2;116;9622;9623;115,37;0;107113
30/11/2024;RPS;2;310;9622;9623;3182,02;0;107113
30/11/2024;RPS;2;315;9622;9623;1804,25;0;107113
30/11/2024;RPS;2;327;9622;9623;228,82;0;107113
30/11/2024;RPS;2;530;9622;9623;1233,72;0;107113
30/11/2024;RPS;2;535;9622;9623;501,11;0;107113
30/11/2024;RPS;2;539;9622;9623;43,69;0;107113
30/11/2024;RPS;2;812;9622;9623;51,76;0;107113
30/11/2024;RPS;2;815;9622;9623;20,9;0;107113
30/11/2024;RPS;2;976;9623;9124;284,76;0;107113
30/11/2024;RPS;2;335;9623;9126;1158,25;0;107113
30/11/2024;RPS;2;941;9623;9266;66,29;0;107113
30/11/2024;RPS;2;311;9623;9556;66,39;0;107113
30/11/2024;RPS;2;456;9623;9556;0,08;0;107113
30/11/2024;RPS;2;531;9623;9556;30,65;0;107113
30/11/2024;RPS;2;816;9623;9556;0,71;0;107113
30/11/2024;RPS;2;828;9623;9622;11,23;0;107113
30/11/2024;RPS;2;461;9623;9626;13922,11;0;107113
30/11/2024;RPS;2;827;9623;9626;667,12;0;107113
30/11/2024;RPS;2;968;9623;9626;798,8;0;107113
30/11/2024;RPS;2;530;9623;9643;314,19;0;107113
30/11/2024;RPS;2;812;9623;9643;6,76;0;107113
30/11/2024;RPS;2;531;9623;9657;59,58;0;107113
30/11/2024;RPS;2;816;9623;9657;0,2;0;107113
30/11/2024;RPS;2;820;9623;9657;122,03;0;107113
30/11/2024;RPS;2;941;9623;9657;881,49;0;107113
30/11/2024;RPS;2;968;9623;9657;375,5;0;107113
30/11/2024;RPS;2;976;9623;9657;1448,96;0;107113
30/11/2024;RPS;2;940;9623;9658;170,58;0;107113
30/11/2024;RPS;2;327;9623;9659;200,69;0;107113
30/11/2024;RPS;2;539;9623;9659;9,62;0;107113
30/11/2024;RPS;2;828;9623;9659;46,51;0;107113
30/11/2024;RPS;2;940;9623;9664;82,25;0;107113
30/11/2024;RPS;2;315;9623;9681;1853;0;107113
30/11/2024;RPS;2;535;9623;9681;285,5;0;107113
30/11/2024;RPS;2;815;9623;9681;13,18;0;107113
30/11/2024;RPS;2;531;9623;9691;105,02;0;107113
30/11/2024;RPS;2;820;9623;9691;66,65;0;107113
30/11/2024;RPS;2;940;9623;9691;20,91;0;107113
30/11/2024;RPS;2;947;9623;9691;28834,36;0;107113
30/11/2024;RPS;2;997;9623;9691;1219,2;0;107113
30/11/2024;RPS;2;539;9623;9765;186,78;0;107113
30/11/2024;RPS;2;941;9623;9765;38,52;0;107113
30/11/2024;RPS;2;941;9623;9766;200,06;0;107113
30/11/2024;RPS;2;760;9623;9770;126,22;0;107113
30/11/2024;RPS;2;310;9623;9773;372,81;0;107113
30/11/2024;RPS;2;530;9623;9773;13,55;0;107113
30/11/2024;RPS;2;310;9623;9787;2049,94;0;107113
30/11/2024;RPS;2;530;9623;9787;1890,88;0;107113
30/11/2024;RPS;2;812;9623;9787;68,98;0;107113
30/11/2024;RPS;2;315;9623;9806;1494,14;0;107113
30/11/2024;RPS;2;535;9623;9806;853,94;0;107113
30/11/2024;RPS;2;815;9623;9806;25,04;0;107113
30/11/2024;RPS;2;311;9623;9855;2705,02;0;107113
30/11/2024;RPS;2;456;9623;9855;0,15;0;107113
30/11/2024;RPS;2;531;9623;9855;523,4;0;107113
30/11/2024;RPS;2;816;9623;9855;159,8;0;107113
30/11/2024;RPS;2;310;9623;9867;2271,67;0;107113
30/11/2024;RPS;2;530;9623;9867;565,9;0;107113
30/11/2024;RPS;2;812;9623;9867;48,79;0;107113
30/11/2024;RPS;2;625;9623;9952;173,95;0;107113
30/11/2024;RPS;2;820;9626;9623;3301,9;0;107113
30/11/2024;RPS;2;822;9626;9623;216,44;0;107113
30/11/2024;RPS;2;976;9626;9623;2237,78;0;107113
30/11/2024;RPS;2;977;9626;9623;214,92;0;107113
30/11/2024;RPS;2;976;9626;9657;3624,43;0;107113
30/11/2024;RPS;2;116;9632;9623;446,12;0;107113
30/11/2024;RPS;2;208;9632;9623;38,04;0;107113
30/11/2024;RPS;2;310;9632;9623;27152,34;0;107113
30/11/2024;RPS;2;311;9632;9623;6248,11;0;107113
30/11/2024;RPS;2;315;9632;9623;4791,58;0;107113
30/11/2024;RPS;2;319;9632;9623;401,39;0;107113
30/11/2024;RPS;2;327;9632;9623;1103,56;0;107113
30/11/2024;RPS;2;335;9632;9623;454,94;0;107113
